epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3443.61,0.38122,0.74791,0.07319,0.35195,0.92141,0.88744,0.93387,0.95505,0.93968,0.87176,0.91503,0.9317,0.76236,0.23189,0.79883,0.03967,0.44384,0.86434,0.000643795,0.000643795,0.000643795
64,3499.6,0.38105,0.75133,0.07839,0.35058,0.92236,0.89172,0.93595,0.95055,0.9336,0.88657,0.9028,0.92449,0.75527,0.23713,0.80079,0.04012,0.44756,0.86297,0.000627292,0.000627292,0.000627292
65,3554.61,0.37464,0.73425,0.07433,0.34618,0.91928,0.88529,0.93829,0.9551,0.93863,0.86857,0.9206,0.92866,0.76281,0.23433,0.81701,0.04069,0.43934,0.8639,0.000610789,0.000610789,0.000610789
66,3608.98,0.38138,0.7323,0.07704,0.34964,0.91998,0.8815,0.94284,0.95348,0.93902,0.86939,0.92632,0.93471,0.76505,0.23088,0.80001,0.03867,0.43659,0.86013,0.000594286,0.000594286,0.000594286
67,3665.27,0.36918,0.71227,0.07117,0.33696,0.91383,0.89869,0.9357,0.95302,0.93823,0.88291,0.91898,0.93161,0.76917,0.23222,0.8006,0.03817,0.43766,0.8633,0.000577782,0.000577782,0.000577782
68,3718.58,0.37583,0.71746,0.07458,0.34097,0.91782,0.89116,0.93454,0.94952,0.93277,0.87903,0.92061,0.92804,0.76806,0.23398,0.81034,0.03865,0.44451,0.86216,0.000561279,0.000561279,0.000561279
69,3775.79,0.37469,0.73672,0.07427,0.34317,0.92042,0.88996,0.92518,0.95089,0.93505,0.89815,0.89319,0.93446,0.76656,0.23469,0.81006,0.03752,0.44282,0.8622,0.000544776,0.000544776,0.000544776
70,3828.47,0.36572,0.69775,0.07323,0.34088,0.91479,0.89902,0.93243,0.95641,0.94027,0.8981,0.90051,0.9319,0.76177,0.23455,0.83087,0.03963,0.41947,0.86369,0.000528272,0.000528272,0.000528272
71,3881.97,0.37316,0.73321,0.07332,0.34132,0.92056,0.90815,0.91009,0.95403,0.93767,0.89276,0.89462,0.92664,0.76335,0.23221,0.82488,0.03817,0.43407,0.86017,0.000511769,0.000511769,0.000511769
72,3940.69,0.36621,0.71241,0.07427,0.34154,0.91671,0.90385,0.92359,0.95419,0.93889,0.88795,0.90552,0.92953,0.76622,0.23269,0.81021,0.03917,0.43969,0.86,0.000495266,0.000495266,0.000495266
73,3993.99,0.36231,0.69773,0.07261,0.33415,0.90771,0.88707,0.93717,0.95408,0.93756,0.87245,0.92175,0.93116,0.76573,0.22999,0.80802,0.03744,0.4472,0.85985,0.000478762,0.000478762,0.000478762
74,4047.8,0.36257,0.73184,0.07373,0.33176,0.91113,0.89931,0.92648,0.95315,0.93801,0.88222,0.91172,0.93312,0.76897,0.22819,0.81362,0.03955,0.45922,0.85863,0.000462259,0.000462259,0.000462259
75,4101.21,0.35849,0.69574,0.07254,0.33435,0.90948,0.88827,0.94005,0.95233,0.93855,0.87115,0.92094,0.93042,0.76719,0.2295,0.81188,0.03706,0.45266,0.8589,0.000445756,0.000445756,0.000445756
